 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,aero_1_0714:slice:1,40,76.125,1.225,76.125,1.225,16.741,3.042,178.624,0.316,5.503,0.182,0.870
2,aero_1_0714:slice:1,1304,805.180,23.276,805.180,23.276,46.852,35.437,179.294,0.819,1.322,0.756,0.952
3,aero_1_0714:slice:1,489,556.277,33.154,556.277,33.154,31.212,19.948,33.026,0.794,1.565,0.639,0.890
4,aero_1_0714:slice:1,621,11.732,77.716,11.732,77.716,33.163,23.842,115.923,0.754,1.391,0.719,0.911
5,aero_1_0714:slice:1,1044,429.232,102.546,429.232,102.546,38.129,34.862,42.861,0.789,1.094,0.914,0.917
6,aero_1_0714:slice:1,3177,652.961,141.589,652.961,141.589,75.286,53.730,148.736,0.745,1.401,0.714,0.932
7,aero_1_0714:slice:1,19,546.184,160.868,546.184,160.868,5.384,4.493,156.190,0.944,1.198,0.834,0.884
8,aero_1_0714:slice:1,2631,308.740,187.844,308.740,187.844,74.127,45.191,156.792,0.676,1.640,0.610,0.883
9,aero_1_0714:slice:1,1719,711.252,213.818,711.252,213.818,55.843,39.194,172.347,0.794,1.425,0.702,0.932
10,aero_1_0714:slice:1,4,854.000,214.000,854.000,214.000,2.257,2.257,0.000,1.000,1.000,1.000,1.000
11,aero_1_0714:slice:1,11,751.773,222.318,751.773,222.318,3.963,3.534,9.827,0.715,1.122,0.892,0.786
12,aero_1_0714:slice:1,6,527.000,224.500,527.000,224.500,3.385,2.257,90.000,1.000,1.500,0.667,1.000
13,aero_1_0714:slice:1,320,168.225,236.838,168.225,236.838,23.933,17.024,89.959,0.759,1.406,0.711,0.905
14,aero_1_0714:slice:1,7,261.214,234.500,261.214,234.500,3.086,2.888,90.000,1.000,1.069,0.936,0.875
15,aero_1_0714:slice:1,1433,1004.814,263.978,1004.814,263.978,47.355,38.529,115.604,0.753,1.229,0.814,0.930
16,aero_1_0714:slice:1,1298,90.185,265.119,90.185,265.119,43.406,38.074,123.736,0.762,1.140,0.877,0.925
17,aero_1_0714:slice:1,7,568.500,258.786,568.500,258.786,3.086,2.888,0.000,1.000,1.069,0.936,0.875
18,aero_1_0714:slice:1,8,181.000,281.500,181.000,281.500,3.489,2.919,0.000,1.000,1.195,0.837,0.800
19,aero_1_0714:slice:1,67,841.799,296.515,841.799,296.515,11.657,7.318,145.994,0.752,1.593,0.628,0.827
20,aero_1_0714:slice:1,1369,676.805,330.195,676.805,330.195,52.662,33.099,156.938,0.660,1.591,0.629,0.865
21,aero_1_0714:slice:1,228,439.259,327.640,439.259,327.640,18.091,16.046,168.521,0.830,1.127,0.887,0.903
22,aero_1_0714:slice:1,1698,261.952,346.641,261.952,346.641,52.359,41.291,138.345,0.676,1.268,0.789,0.876
23,aero_1_0714:slice:1,6,611.667,358.667,611.667,358.667,3.140,2.433,135.000,1.000,1.291,0.775,0.800
24,aero_1_0714:slice:1,6,1015.000,372.500,1015.000,372.500,3.385,2.257,90.000,1.000,1.500,0.667,1.000
25,aero_1_0714:slice:1,767,915.656,435.596,915.656,435.596,45.371,21.524,31.653,0.577,2.108,0.474,0.821
26,aero_1_0714:slice:1,31,334.629,425.468,334.629,425.468,7.554,5.225,142.914,0.937,1.446,0.692,0.849
27,aero_1_0714:slice:1,1553,130.413,452.407,130.413,452.407,51.087,38.705,173.339,0.734,1.320,0.758,0.930
28,aero_1_0714:slice:1,2516,188.856,480.399,188.856,480.399,83.812,38.222,174.017,0.587,2.193,0.456,0.908
29,aero_1_0714:slice:1,507,287.031,470.713,287.031,470.713,31.892,20.241,178.626,0.767,1.576,0.635,0.906
30,aero_1_0714:slice:1,393,678.859,489.617,678.859,489.617,29.696,16.850,12.868,0.718,1.762,0.567,0.901
31,aero_1_0714:slice:1,573,104.100,510.844,104.100,510.844,35.691,20.441,148.929,0.725,1.746,0.573,0.902
32,aero_1_0714:slice:1,510,361.859,511.953,361.859,511.953,26.672,24.346,173.880,0.787,1.096,0.913,0.896
33,aero_1_0714:slice:1,2067,653.442,529.668,653.442,529.668,61.732,42.632,157.224,0.666,1.448,0.691,0.878
34,aero_1_0714:slice:1,15,317.633,513.967,317.633,513.967,5.795,3.296,148.207,1.000,1.759,0.569,0.882
35,aero_1_0714:slice:1,5,978.100,543.300,978.100,543.300,3.144,2.025,108.435,1.000,1.553,0.644,0.909
36,aero_1_0714:slice:1,21,858.119,545.214,858.119,545.214,5.413,4.940,173.953,1.000,1.096,0.913,0.857
37,aero_1_0714:slice:1,2528,716.450,569.070,716.450,569.070,63.400,50.769,21.464,0.634,1.249,0.801,0.887
38,aero_1_0714:slice:1,435,207.155,564.121,207.155,564.121,25.313,21.880,125.007,0.778,1.157,0.864,0.880
39,aero_1_0714:slice:1,182,404.621,569.703,404.621,569.703,20.701,11.194,161.499,0.746,1.849,0.541,0.888
40,aero_1_0714:slice:1,4,846.000,565.000,846.000,565.000,2.257,2.257,0.000,1.000,1.000,1.000,1.000
41,aero_1_0714:slice:1,112,105.536,595.143,105.536,595.143,13.154,10.841,35.172,0.904,1.213,0.824,0.889
42,aero_1_0714:slice:1,255,1018.567,616.218,1018.567,616.218,24.059,13.495,85.644,0.547,1.783,0.561,0.876
43,aero_1_0714:slice:1,5,707.300,626.100,707.300,626.100,3.144,2.025,161.565,1.000,1.553,0.644,0.909
44,aero_1_0714:slice:1,602,641.528,658.963,641.528,658.963,32.764,23.394,30.145,0.746,1.401,0.714,0.897
45,aero_1_0714:slice:1,4,521.000,647.000,521.000,647.000,2.257,2.257,0.000,1.000,1.000,1.000,1.000
46,aero_1_0714:slice:1,23,511.326,683.543,511.326,683.543,6.390,4.583,169.973,0.938,1.394,0.717,0.836
47,aero_1_0714:slice:1,2460,887.495,739.476,887.495,739.476,68.519,45.712,160.490,0.715,1.499,0.667,0.915
48,aero_1_0714:slice:1,5,29.700,746.100,29.700,746.100,3.144,2.025,18.435,1.000,1.553,0.644,0.909
49,aero_1_0714:slice:1,571,979.754,781.752,979.754,781.752,30.383,23.929,143.671,0.775,1.270,0.788,0.889
50,aero_1_0714:slice:1,11,217.500,772.500,217.500,772.500,4.535,3.088,0.000,0.976,1.469,0.681,0.846
51,aero_1_0714:slice:1,452,12.584,788.254,12.584,788.254,34.661,16.604,126.124,0.618,2.088,0.479,0.868
52,aero_1_0714:slice:1,23,815.630,786.283,815.630,786.283,5.884,4.977,59.957,1.000,1.182,0.846,0.885
